Level,Top cm,Bottom cm,Pic Label,INTERVAL,Seq,Treatment,Area,Numbers,Circ,AR
Level23,41,40,I_41-40.csv,GI-1,I,H2O2,0.014722673,123,0.442306858,5.305124472
Level24,40,39,I_40-39.csv,GI-1,I,H2O2,0.002340677,18,0.415999985,5.801249204
Level25,39,38,I_39-38.csv,GI-1,I,H2O2,0.000270977,2,0.703084054,2.395678297
Level26,38,37,n/a,GI-1,I,H2O2,0.00E+00,0,0,0
Level27,37,36,I_37-36.csv,GI-1,I,H2O2,0.00056035,1,0.353065805,6.745174686
Level1,-19,-18,n/a,Holocene,J,NaClO,0.00E+00,0,0,0
Level2,-18,-17,J_-18-17.csv,Holocene,J,NaClO,0.000159432,8,0.50125659,4.953459565
Level3,-17,-16,n/a,Holocene,J,NaClO,0.00E+00,0,0,0
Level4,-16,-15,J_-16-15.csv,Holocene,J,NaClO,0.000181332,7,0.599142967,2.916484779
Level5,-15,-14,J_-15-14.csv,Holocene,J,NaClO,0.001270495,9,0.466591289,4.563244004
Level6,-14,-13,J_-14-13.csv,Holocene,J,NaClO,0.000624589,8,0.368407774,5.930915021
Level7,-13,-12,J_-13-12.csv,Holocene,J,NaClO,0.000380477,7,0.517219386,4.561428585
Level8,-12,-11,J_-12-11.csv,Holocene,J,NaClO,0.003026004,8,0.619092899,3.482280944
Level9,-11,-10,J_-11-10.csv,Holocene,J,NaClO,5.14E-05,1,0.704208084,2.552187715
Level10,20,19,J_20-19.csv,Younger Dryas,J,NaClO,0.000110084,5,0.556570787,3.745400224
Level11,19,18,n/a,Younger Dryas,J,NaClO,0,0,0,0
Level12,18,17,J_18-17.csv,Younger Dryas,J,NaClO,0.000728249,8,0.687910949,2.496484746
Level13,17,16,J_17-16.csv,Younger Dryas,J,NaClO,0.000263092,4,0.862786476,1.547501895
Level14,16,15,J_16-15.csv,Younger Dryas,J,NaClO,0.000166148,7,0.880768499,1.649315731
Level15,15,14,J_15-14.csv,Younger Dryas,J,NaClO,0.000816434,9,0.751909632,2.25481951
Level16,14,13,J_14-13.csv,Younger Dryas,J,NaClO,0.00169594,10,0.644391035,2.771368205
Level17,13,12,n/a,Younger Dryas,J,NaClO,0,0,0,0
Level18,12,11,J_12-11.csv,Younger Dryas,J,NaClO,0.000309229,3,0.346789369,5.9431324
Level19,45,44,J_45-44.csv,GI-1,J,NaClO,6.34E-05,1,0.835996076,1.45335631
Level20,44,43,J_44-43.csv,GI-1,J,NaClO,1.66E-05,1,0.235464538,9.719261194
Level21,43,42,n/a,GI-1,J,NaClO,0,0,0,0
Level22,42,41,n/a,GI-1,J,NaClO,0,0,0,0
Level23,41,40,J_41-40.csv,GI-1,J,NaClO,0.015608306,162,0.501251767,4.704692838
Level24,40,39,J_40-39.csv,GI-1,J,NaClO,0.001804856,17,0.45464378,4.876029242
Level25,39,38,J_39-38.csv,GI-1,J,NaClO,0.000122932,4,0.586697789,3.188208704
Level26,38,37,J_38-37.csv,GI-1,J,NaClO,0.000282657,1,0.692771622,2.307719763
Level27,37,36,J_37-36.csv,GI-1,J,NaClO,0.000111544,4,0.829030537,1.973046081
Level1,-19,-18,K_-19-18.csv,Holocene,K,HNO3,0.002406086,13,0.712966021,1.673630583
Level2,-18,-17,K_-18-17.csv,Holocene,K,HNO3,0.002258919,8,0.529454959,3.086297406
Level3,-17,-16,n/a,Holocene,K,HNO3,0.00E+00,0,0,0
Level4,-16,-15,K_-16-15.csv,Holocene,K,HNO3,0.035824122,143,0.540072489,3.969038332
Level5,-15,-14,K_-15-14.csv,Holocene,K,HNO3,0.003250552,19,0.514390392,4.249751096
Level6,-14,-13,K_-14-13.csv,Holocene,K,HNO3,0.000586046,3,0.559701682,3.194589492
Level7,-13,-12,K_-13-12.csv,Holocene,K,HNO3,0.001000686,4,0.206426766,8.007442818
Level8,-12,-11,K_-12-11.csv,Holocene,K,HNO3,0.001515192,8,0.472191839,5.239539691
Level9,-11,-10,K_-11-10.csv,Holocene,K,HNO3,9.31E-05,1,0.439175605,4.038814819
Level10,20,19,K_20-19.csv,Younger Dryas,K,HNO3,0.000692041,7,0.576358848,3.460537631
Level11,19,18,K_19-18.csv,Younger Dryas,K,HNO3,3.80E-05,2,0.394003708,4.939552665
Level12,18,17,K_18-17.csv,Younger Dryas,K,HNO3,0.001060253,10,0.666282378,2.420632352
Level13,17,16,K_17-16.csv,Younger Dryas,K,HNO3,0.000612909,6,0.581579094,4.850346724
Level14,16,15,K_16-15.csv,Younger Dryas,K,HNO3,0.000170529,1,0.205276741,8.500509547
Level15,15,14,K_15-14.csv,Younger Dryas,K,HNO3,0.000596557,3,0.53258979,4.010377999
Level16,14,13,K_14-13.csv,Younger Dryas,K,HNO3,0.001422627,8,0.587190938,4.346283782
Level17,13,12,K_13-12.csv,Younger Dryas,K,HNO3,0.000353614,2,0.267620809,8.50572522
Level18,12,11,K_12-11.csv,Younger Dryas,K,HNO3,0.000459901,2,0.562617163,2.130786856
Level19,45,44,n/a,GI-1,K,HNO3,0.00E+00,0,0,0
Level20,44,43,K_44-43.csv,GI-1,K,HNO3,0.000494942,2,0.813528131,1.329463645
Level21,43,42,K_43-42.csv,GI-1,K,HNO3,0.000288788,4,0.53901086,3.624926926
Level22,42,41,n/a,GI-1,K,HNO3,0,0,0,0
Level23,41,40,K_41-40.csv,GI-1,K,HNO3,0.032083292,156,0.48196791,4.538647623
Level24,40,39,K_40-39.csv,GI-1,K,HNO3,0.01235514,54,0.509916187,4.377202393
Level25,39,38,K_39-38.csv,GI-1,K,HNO3,0.000480049,1,0.242422222,5.227392948
Level26,38,37,n/a,GI-1,K,HNO3,0,0,0,0
Level27,37,36,n/a,GI-1,K,HNO3,0,0,0,0
